[2025-07-03 10:35:11] Key: Y | CPU: 54.7% | RAM: 89.7% | Disk: 7767701504 | Net: (26505994, 149201947) | Procs: 208
[2025-07-03 10:35:12] Key: 0 | CPU: 46.2% | RAM: 89.7% | Disk: 7767701504 | Net: (26505994, 149202007) | Procs: 210
[2025-07-03 10:35:12] Key: a | CPU: 14.4% | RAM: 89.7% | Disk: 7767709696 | Net: (26505994, 149202069) | Procs: 208
[2025-07-03 10:35:12] Key: A | CPU: 5.9% | RAM: 89.7% | Disk: 7767709696 | Net: (26505994, 149202069) | Procs: 208
[2025-07-03 10:35:13] Key: 2 | CPU: 4.6% | RAM: 89.7% | Disk: 7767709696 | Net: (26505994, 149202069) | Procs: 208
[2025-07-03 10:35:13] Key: X | CPU: 0.6% | RAM: 89.7% | Disk: 7767709696 | Net: (26505994, 149202193) | Procs: 208
[2025-07-03 10:35:13] Key: F | CPU: 1.2% | RAM: 89.6% | Disk: 7768035840 | Net: (26505994, 149202301) | Procs: 208
[2025-07-03 10:35:14] Key: Q | CPU: 0.6% | RAM: 89.6% | Disk: 7768035840 | Net: (26505994, 149202361) | Procs: 208
[2025-07-03 10:35:14] Key: R | CPU: 0.0% | RAM: 89.7% | Disk: 7768035840 | Net: (26505994, 149202361) | Procs: 208
[2025-07-03 10:35:14] Key: g | CPU: 1.9% | RAM: 89.7% | Disk: 7768035840 | Net: (26505994, 149202361) | Procs: 208
[2025-07-03 10:35:15] Key: 5 | CPU: 1.2% | RAM: 89.7% | Disk: 7769110016 | Net: (26505994, 149202361) | Procs: 208
[2025-07-03 10:35:15] Key: R | CPU: 1.3% | RAM: 89.7% | Disk: 7769110016 | Net: (26505994, 149202361) | Procs: 208
[2025-07-03 10:35:15] Key: s | CPU: 1.2% | RAM: 89.7% | Disk: 7769110016 | Net: (26505994, 149202361) | Procs: 208
[2025-07-03 10:35:16] Key: H | CPU: 1.9% | RAM: 89.7% | Disk: 7769110016 | Net: (26505994, 149202361) | Procs: 208
[2025-07-03 10:35:16] Key: i | CPU: 1.2% | RAM: 89.7% | Disk: 7769110016 | Net: (26505994, 149202361) | Procs: 208
[2025-07-03 10:35:16] Key: D | CPU: 2.5% | RAM: 89.7% | Disk: 7769119744 | Net: (26505994, 149202361) | Procs: 208
[2025-07-03 10:35:17] Key: b | CPU: 1.9% | RAM: 89.7% | Disk: 7769119744 | Net: (26506103, 149202481) | Procs: 208
[2025-07-03 10:35:17] Key: n | CPU: 3.5% | RAM: 89.7% | Disk: 7769119744 | Net: (26506103, 149202481) | Procs: 208
[2025-07-03 10:35:17] Key: a | CPU: 5.0% | RAM: 89.7% | Disk: 7769390080 | Net: (26506103, 149202481) | Procs: 208
[2025-07-03 10:35:17] Key: j | CPU: 1.3% | RAM: 89.7% | Disk: 7769405952 | Net: (26506103, 149202481) | Procs: 208
[2025-07-03 10:35:18] Key: u | CPU: 1.8% | RAM: 89.7% | Disk: 7769405952 | Net: (26506103, 149202481) | Procs: 208
[2025-07-03 10:35:18] Key: r | CPU: 3.6% | RAM: 89.7% | Disk: 7769405952 | Net: (26506103, 149202481) | Procs: 208
[2025-07-03 10:35:18] Key: c | CPU: 1.9% | RAM: 89.7% | Disk: 7769405952 | Net: (26506103, 149202481) | Procs: 208
[2025-07-03 10:35:19] Key: R | CPU: 2.5% | RAM: 89.7% | Disk: 7770479104 | Net: (26506103, 149202481) | Procs: 208
