cpu_usage,ram_usage,disk_write_bytes,net_sent,net_recv,process_count,keystrokes,mouse_clicks,mouse_moves,label
5.039572504,62.11344988,325692726,65975152,71146264,210,5,1,124,0
5.192837136,57.56048778,440229811,66755061,63377701,205,1,1,120,0
4.792828789,64.08520911,180611351,71946231,70772507,222,1,0,132,0
4.615998816,70.09512226,473773215,77310117,57902236,226,6,0,109,0
5.449119093,53.4287122,375635061,40805513,82206975,205,4,1,131,0
4.805601268,64.51747711,429309285,46151348,57431078,237,6,2,114,0
4.862384995,62.63771901,322476277,75446851,53398651,201,8,0,110,0
5.97026819,53.60196965,411806680,58340742,67449841,221,4,2,111,0
6.905611995,65.59996214,106480158,62583625,76332297,219,5,1,115,0
5.810911602,56.84101045,427352169,66521088,67508672,224,6,1,120,0
4.230938401,62.19585796,116055543,67162664,61070165,214,5,1,121,0
4.226750842,52.05680811,455965350,77269616,72326847,228,2,1,106,0
6.854269663,61.48960143,496785098,79877976,63880093,207,5,1,118,0
4.891872371,57.6615867,217626984,68806298,87314707,236,6,0,129,0
4.276200958,70.55953028,184127422,51488848,86905805,232,2,2,123,0
5.797133761,51.42446817,406145345,75190096,70094872,221,5,2,123,0
5.870946335,60.46518187,201210536,41968836,63115359,204,5,1,109,0
5.94551446,61.4607856,446224953,49243234,79485296,238,4,0,109,0
4.802206084,68.12515191,141137036,75895428,51468517,217,4,2,111,0
4.045332053,64.35718938,150382078,50247660,68990760,237,5,2,119,0
6.895046108,66.68030843,491660622,48826042,63452935,236,3,2,133,0
4.752679137,69.42623214,369535559,45525011,86821435,229,4,2,110,0
6.028078864,71.55507434,438754889,74364470,50480121,230,6,0,121,0
6.11988961,57.84688742,229731750,60002330,72112595,209,5,1,120,0
5.830022251,63.45056763,370593499,66995728,79626543,214,3,1,135,0
4.938722183,71.00270196,337696730,49562655,69400719,217,5,1,135,0
4.813288761,74.73627827,341260048,70321616,53416121,222,5,1,117,0
5.793004848,72.23798278,373012983,70400221,88898455,232,5,2,116,0
6.598286901,59.28668157,330143669,52503920,70720417,215,0,1,122,0
6.840201187,54.87916293,271624947,56427305,74567449,237,4,1,123,0
4.317717413,62.23481344,210369077,48387611,59464391,234,3,2,118,0
4.464485838,68.5410363,407432532,79062440,69339923,233,2,1,130,0
6.834208776,62.31422677,190508972,65824103,67165979,227,0,2,121,0
6.209605685,62.07952158,376941722,77381755,52995833,201,3,2,113,0
6.648981474,70.95576053,193333129,52135421,54246414,229,4,2,118,0
4.607897902,59.03509448,350132067,71275636,83498900,212,2,1,121,0
5.762757613,71.49486687,398831306,70634345,59592798,215,3,2,112,0
6.103418783,60.17012002,187485555,67666226,57798330,204,0,0,103,0
6.040335656,58.20582764,123977320,78625559,70196458,227,4,2,110,0
5.224455073,61.34974778,152389497,55742213,80749885,238,7,1,130,0
4.046184675,69.06117397,342398786,45228692,52477860,219,6,0,124,0
5.74877817,53.1500507,439778562,66868354,73072316,223,3,0,105,0
4.759304618,54.9104804,117998728,69172392,54768417,226,3,0,120,0
5.350762738,73.78612064,393660503,63002422,51458442,229,4,2,111,0
6.872743045,54.38729068,236527458,48272715,52109758,226,4,2,109,0
5.197105953,64.19318295,291411347,60178237,83366564,225,3,1,121,0
6.51940482,64.48286167,471543819,52487589,54718899,206,2,2,117,0
4.565621817,62.24061155,232788601,57098661,51806054,237,3,2,135,0
6.017381494,66.11863121,286134773,65808743,67515995,204,7,0,131,0
6.931020863,55.74566814,105472965,69808589,83759738,222,2,1,112,0
4.305679303,63.81655669,132639488,49288987,60496335,227,3,1,129,0
4.024959827,59.30433138,203436636,56213014,66868504,233,3,0,114,0
5.300748378,66.54168149,111140896,50766462,51596901,214,9,1,129,0
4.277876449,53.53058858,352550130,47945264,67963140,231,1,1,122,0
